gamma_2,P_MAX,pearson_r,p_value
0.0200,100,-0.223452,0.717878
0.0200,200,0.897914,0.038549
0.0200,300,0.883443,0.046925
0.0200,400,0.878864,0.049681
0.0200,500,0.868529,0.056082
0.0200,600,0.881260,0.048232
0.0200,750,0.896555,0.039314
0.0200,1000,0.915752,0.028981
0.0200,1250,0.949354,0.013578
0.0200,1500,0.954633,0.011520
0.0200,1750,0.964301,0.008053
0.0200,2000,0.931910,0.021109
0.0300,100,-0.825587,0.085114
0.0300,200,0.926110,0.023842
0.0300,300,0.916641,0.028527
0.0300,400,0.898015,0.038493
0.0300,500,0.943920,0.015807
0.0300,600,0.961817,0.008905
0.0300,750,0.953105,0.012104
0.0300,1000,0.975187,0.004674
0.0300,1250,0.985882,0.002009
0.0300,1500,0.987544,0.001666
0.0300,1750,0.990364,0.001134
0.0300,2000,0.978843,0.003682
0.0400,100,-0.914716,0.029512
0.0400,200,-0.932158,0.020995
0.0400,300,-0.929713,0.022132
0.0400,400,-0.944482,0.015572
0.0400,500,-0.907559,0.033267
0.0400,600,-0.896558,0.039312
0.0400,750,-0.904509,0.034911
0.0400,1000,-0.883876,0.046666
0.0400,1250,-0.877013,0.050809
0.0400,1500,-0.877492,0.050517
0.0400,1750,-0.872607,0.053527
0.0400,2000,-0.869011,0.055778
0.0500,100,-0.936154,0.019179
0.0500,200,-0.940871,0.017106
0.0500,300,-0.939446,0.017724
0.0500,400,-0.942250,0.016515
0.0500,500,-0.933973,0.020163
0.0500,600,-0.931854,0.021135
0.0500,750,-0.933697,0.020289
0.0500,1000,-0.930298,0.021858
0.0500,1250,-0.929798,0.022092
0.0500,1500,-0.930010,0.021992
0.0500,1750,-0.929483,0.022240
0.0500,2000,-0.928624,0.022644
0.0600,100,-0.943815,0.015852
0.0600,200,-0.944298,0.015649
0.0600,300,-0.943563,0.015958
0.0600,400,-0.944411,0.015602
0.0600,500,-0.941593,0.016795
0.0600,600,-0.940990,0.017055
0.0600,750,-0.941592,0.016796
0.0600,1000,-0.940670,0.017192
0.0600,1250,-0.940623,0.017213
0.0600,1500,-0.940694,0.017182
0.0600,1750,-0.940585,0.017230
0.0600,2000,-0.940340,0.017335
0.0700,100,-0.946917,0.014564
0.0700,200,-0.946041,0.014924
0.0700,300,-0.945651,0.015085
0.0700,400,-0.945915,0.014976
0.0700,500,-0.944850,0.015418
0.0700,600,-0.944665,0.015495
0.0700,750,-0.944895,0.015399
0.0700,1000,-0.944611,0.015518
0.0700,1250,-0.944624,0.015512
0.0700,1500,-0.944650,0.015502
0.0700,1750,-0.944624,0.015512
0.0700,2000,-0.944544,0.015546
0.0800,100,-0.948070,0.014094
0.0800,200,-0.946860,0.014587
0.0800,300,-0.946651,0.014673
0.0800,400,-0.946721,0.014644
0.0800,500,-0.946303,0.014816
0.0800,600,-0.946249,0.014838
0.0800,750,-0.946345,0.014799
0.0800,1000,-0.946254,0.014836
0.0800,1250,-0.946269,0.014830
0.0800,1500,-0.946279,0.014826
0.0800,1750,-0.946274,0.014828
0.0800,2000,-0.946245,0.014840
0.0900,100,-0.948278,0.014010
0.0900,200,-0.947112,0.014484
0.0900,300,-0.946999,0.014530
0.0900,400,-0.947007,0.014527
0.0900,500,-0.946841,0.014595
0.0900,600,-0.946829,0.014600
0.0900,750,-0.946871,0.014583
0.0900,1000,-0.946842,0.014594
0.0900,1250,-0.946852,0.014591
0.0900,1500,-0.946856,0.014589
0.0900,1750,-0.946855,0.014589
0.0900,2000,-0.946844,0.014594
0.1000,100,-0.948013,0.014117
0.1000,200,-0.947016,0.014523
0.1000,300,-0.946955,0.014548
0.1000,400,-0.946947,0.014552
0.1000,500,-0.946882,0.014578
0.1000,600,-0.946882,0.014578
0.1000,750,-0.946901,0.014571
0.1000,1000,-0.946892,0.014574
0.1000,1250,-0.946897,0.014572
0.1000,1500,-0.946899,0.014571
0.1000,1750,-0.946899,0.014571
0.1000,2000,-0.946895,0.014573
0.1100,100,-0.947526,0.014316
0.1100,200,-0.946723,0.014643
0.1100,300,-0.946691,0.014656
0.1100,400,-0.946681,0.014661
0.1100,500,-0.946656,0.014671
0.1100,600,-0.946659,0.014670
0.1100,750,-0.946667,0.014666
0.1100,1000,-0.946665,0.014667
0.1100,1250,-0.946668,0.014666
0.1100,1500,-0.946668,0.014666
0.1100,1750,-0.946668,0.014666
0.1100,2000,-0.946667,0.014666
0.1200,100,-0.946957,0.014548
0.1200,200,-0.946335,0.014803
0.1200,300,-0.946319,0.014809
0.1200,400,-0.946311,0.014813
0.1200,500,-0.946302,0.014816
0.1200,600,-0.946304,0.014815
0.1200,750,-0.946308,0.014814
0.1200,1000,-0.946308,0.014814
0.1200,1250,-0.946309,0.014813
0.1200,1500,-0.946309,0.014813
0.1200,1750,-0.946309,0.014813
0.1200,2000,-0.946309,0.014814
0.1300,100,-0.946387,0.014781
0.1300,200,-0.945919,0.014974
0.1300,300,-0.945911,0.014978
0.1300,400,-0.945905,0.014980
0.1300,500,-0.945903,0.014981
0.1300,600,-0.945904,0.014980
0.1300,750,-0.945906,0.014980
0.1300,1000,-0.945906,0.014980
0.1300,1250,-0.945907,0.014979
0.1300,1500,-0.945907,0.014979
0.1300,1750,-0.945907,0.014979
0.1300,2000,-0.945907,0.014979
0.1400,100,-0.945861,0.014998
0.1400,200,-0.945516,0.015141
0.1400,300,-0.945512,0.015143
0.1400,400,-0.945509,0.015144
0.1400,500,-0.945508,0.015144
0.1400,600,-0.945509,0.015144
0.1400,750,-0.945510,0.015144
0.1400,1000,-0.945510,0.015144
0.1400,1250,-0.945510,0.015143
0.1400,1500,-0.945510,0.015143
0.1400,1750,-0.945510,0.015143
0.1400,2000,-0.945510,0.015143
0.1500,100,-0.945399,0.015190
0.1500,200,-0.945149,0.015293
0.1500,300,-0.945147,0.015294
0.1500,400,-0.945145,0.015295
0.1500,500,-0.945145,0.015295
0.1500,600,-0.945146,0.015295
0.1500,750,-0.945146,0.015295
0.1500,1000,-0.945146,0.015295
0.1500,1250,-0.945146,0.015295
0.1500,1500,-0.945146,0.015295
0.1500,1750,-0.945146,0.015294
0.1500,2000,-0.945146,0.015295
0.1600,100,-0.945007,0.015353
0.1600,200,-0.944829,0.015427
0.1600,300,-0.944828,0.015427
0.1600,400,-0.944827,0.015428
0.1600,500,-0.944827,0.015427
0.1600,600,-0.944827,0.015427
0.1600,750,-0.944828,0.015427
0.1600,1000,-0.944828,0.015427
0.1600,1250,-0.944828,0.015427
0.1600,1500,-0.944828,0.015427
0.1600,1750,-0.944828,0.015427
0.1600,2000,-0.944828,0.015427
0.1700,100,-0.944683,0.015488
0.1700,200,-0.944558,0.015540
0.1700,300,-0.944558,0.015540
0.1700,400,-0.944557,0.015540
0.1700,500,-0.944557,0.015540
0.1700,600,-0.944557,0.015540
0.1700,750,-0.944557,0.015540
0.1700,1000,-0.944558,0.015540
0.1700,1250,-0.944558,0.015540
0.1700,1500,-0.944558,0.015540
0.1700,1750,-0.944558,0.015540
0.1700,2000,-0.944558,0.015540
0.1800,100,-0.944422,0.015597
0.1800,200,-0.944335,0.015633
0.1800,300,-0.944334,0.015633
0.1800,400,-0.944334,0.015634
0.1800,500,-0.944334,0.015634
0.1800,600,-0.944334,0.015634
0.1800,750,-0.944334,0.015634
0.1800,1000,-0.944334,0.015633
0.1800,1250,-0.944334,0.015633
0.1800,1500,-0.944334,0.015633
0.1800,1750,-0.944334,0.015633
0.1800,2000,-0.944334,0.015633
0.1900,100,-0.944213,0.015684
0.1900,200,-0.944153,0.015709
0.1900,300,-0.944153,0.015709
0.1900,400,-0.944153,0.015709
0.1900,500,-0.944153,0.015709
0.1900,600,-0.944153,0.015709
0.1900,750,-0.944153,0.015709
0.1900,1000,-0.944153,0.015709
0.1900,1250,-0.944153,0.015709
0.1900,1500,-0.944153,0.015709
0.1900,1750,-0.944153,0.015709
0.1900,2000,-0.944153,0.015709
0.2000,100,-0.944050,0.015753
0.2000,200,-0.944009,0.015770
0.2000,300,-0.944009,0.015770
0.2000,400,-0.944009,0.015770
0.2000,500,-0.944009,0.015770
0.2000,600,-0.944009,0.015770
0.2000,750,-0.944009,0.015770
0.2000,1000,-0.944009,0.015770
0.2000,1250,-0.944009,0.015770
0.2000,1500,-0.944009,0.015770
0.2000,1750,-0.944009,0.015770
0.2000,2000,-0.944009,0.015770
0.2100,100,-0.943924,0.015806
0.2100,200,-0.943896,0.015817
0.2100,300,-0.943896,0.015817
0.2100,400,-0.943896,0.015818
0.2100,500,-0.943896,0.015818
0.2100,600,-0.943896,0.015818
0.2100,750,-0.943896,0.015818
0.2100,1000,-0.943896,0.015818
0.2100,1250,-0.943896,0.015818
0.2100,1500,-0.943896,0.015818
0.2100,1750,-0.943896,0.015818
0.2100,2000,-0.943896,0.015818
0.2200,100,-0.943827,0.015847
0.2200,200,-0.943808,0.015855
0.2200,300,-0.943808,0.015855
0.2200,400,-0.943808,0.015855
0.2200,500,-0.943808,0.015855
0.2200,600,-0.943808,0.015855
0.2200,750,-0.943808,0.015855
0.2200,1000,-0.943808,0.015855
0.2200,1250,-0.943808,0.015855
0.2200,1500,-0.943808,0.015855
0.2200,1750,-0.943808,0.015855
0.2200,2000,-0.943808,0.015855
0.2300,100,-0.943753,0.015878
0.2300,200,-0.943740,0.015883
0.2300,300,-0.943740,0.015883
0.2300,400,-0.943740,0.015883
0.2300,500,-0.943740,0.015883
0.2300,600,-0.943740,0.015883
0.2300,750,-0.943740,0.015883
0.2300,1000,-0.943740,0.015883
0.2300,1250,-0.943740,0.015883
0.2300,1500,-0.943740,0.015883
0.2300,1750,-0.943740,0.015883
0.2300,2000,-0.943740,0.015883
0.2400,100,-0.943698,0.015901
0.2400,200,-0.943689,0.015905
0.2400,300,-0.943689,0.015905
0.2400,400,-0.943689,0.015905
0.2400,500,-0.943689,0.015905
0.2400,600,-0.943689,0.015905
0.2400,750,-0.943689,0.015905
0.2400,1000,-0.943689,0.015905
0.2400,1250,-0.943689,0.015905
0.2400,1500,-0.943689,0.015905
0.2400,1750,-0.943689,0.015905
0.2400,2000,-0.943689,0.015905
0.2500,100,-0.943656,0.015918
0.2500,200,-0.943651,0.015921
0.2500,300,-0.943651,0.015921
0.2500,400,-0.943651,0.015921
0.2500,500,-0.943651,0.015921
0.2500,600,-0.943651,0.015921
0.2500,750,-0.943651,0.015921
0.2500,1000,-0.943651,0.015921
0.2500,1250,-0.943651,0.015921
0.2500,1500,-0.943651,0.015921
0.2500,1750,-0.943651,0.015921
0.2500,2000,-0.943651,0.015921
0.2600,100,-0.943626,0.015931
0.2600,200,-0.943622,0.015933
0.2600,300,-0.943622,0.015933
0.2600,400,-0.943622,0.015933
0.2600,500,-0.943622,0.015933
0.2600,600,-0.943622,0.015933
0.2600,750,-0.943622,0.015933
0.2600,1000,-0.943622,0.015933
0.2600,1250,-0.943622,0.015933
0.2600,1500,-0.943622,0.015933
0.2600,1750,-0.943622,0.015933
0.2600,2000,-0.943622,0.015933
0.2700,100,-0.943604,0.015940
0.2700,200,-0.943601,0.015941
0.2700,300,-0.943601,0.015941
0.2700,400,-0.943601,0.015941
0.2700,500,-0.943601,0.015941
0.2700,600,-0.943601,0.015941
0.2700,750,-0.943601,0.015941
0.2700,1000,-0.943601,0.015941
0.2700,1250,-0.943601,0.015941
0.2700,1500,-0.943601,0.015941
0.2700,1750,-0.943601,0.015941
0.2700,2000,-0.943601,0.015941
0.2800,100,-0.943588,0.015947
0.2800,200,-0.943587,0.015948
0.2800,300,-0.943587,0.015948
0.2800,400,-0.943587,0.015948
0.2800,500,-0.943587,0.015948
0.2800,600,-0.943587,0.015948
0.2800,750,-0.943587,0.015948
0.2800,1000,-0.943587,0.015948
0.2800,1250,-0.943587,0.015948
0.2800,1500,-0.943587,0.015948
0.2800,1750,-0.943587,0.015948
0.2800,2000,-0.943587,0.015948
0.2900,100,-0.943577,0.015952
0.2900,200,-0.943576,0.015952
0.2900,300,-0.943576,0.015952
0.2900,400,-0.943576,0.015952
0.2900,500,-0.943576,0.015952
0.2900,600,-0.943576,0.015952
0.2900,750,-0.943576,0.015952
0.2900,1000,-0.943576,0.015952
0.2900,1250,-0.943576,0.015952
0.2900,1500,-0.943576,0.015952
0.2900,1750,-0.943576,0.015952
0.2900,2000,-0.943576,0.015952
0.3000,100,-0.943570,0.015955
0.3000,200,-0.943569,0.015955
0.3000,300,-0.943569,0.015955
0.3000,400,-0.943569,0.015955
0.3000,500,-0.943569,0.015955
0.3000,600,-0.943569,0.015955
0.3000,750,-0.943569,0.015955
0.3000,1000,-0.943569,0.015955
0.3000,1250,-0.943569,0.015955
0.3000,1500,-0.943569,0.015955
0.3000,1750,-0.943569,0.015955
0.3000,2000,-0.943569,0.015955
0.3100,100,-0.943565,0.015957
0.3100,200,-0.943565,0.015957
0.3100,300,-0.943565,0.015957
0.3100,400,-0.943565,0.015957
0.3100,500,-0.943565,0.015957
0.3100,600,-0.943565,0.015957
0.3100,750,-0.943565,0.015957
0.3100,1000,-0.943565,0.015957
0.3100,1250,-0.943565,0.015957
0.3100,1500,-0.943565,0.015957
0.3100,1750,-0.943565,0.015957
0.3100,2000,-0.943565,0.015957
0.3200,100,-0.943562,0.015958
0.3200,200,-0.943562,0.015958
0.3200,300,-0.943562,0.015958
0.3200,400,-0.943562,0.015958
0.3200,500,-0.943562,0.015958
0.3200,600,-0.943562,0.015958
0.3200,750,-0.943562,0.015958
0.3200,1000,-0.943562,0.015958
0.3200,1250,-0.943562,0.015958
0.3200,1500,-0.943562,0.015958
0.3200,1750,-0.943562,0.015958
0.3200,2000,-0.943562,0.015958
0.3300,100,-0.943561,0.015959
0.3300,200,-0.943561,0.015959
0.3300,300,-0.943561,0.015959
0.3300,400,-0.943561,0.015959
0.3300,500,-0.943561,0.015959
0.3300,600,-0.943561,0.015959
0.3300,750,-0.943561,0.015959
0.3300,1000,-0.943561,0.015959
0.3300,1250,-0.943561,0.015959
0.3300,1500,-0.943561,0.015959
0.3300,1750,-0.943561,0.015959
0.3300,2000,-0.943561,0.015959
0.3400,100,-0.943560,0.015959
0.3400,200,-0.943560,0.015959
0.3400,300,-0.943560,0.015959
0.3400,400,-0.943560,0.015959
0.3400,500,-0.943560,0.015959
0.3400,600,-0.943560,0.015959
0.3400,750,-0.943560,0.015959
0.3400,1000,-0.943560,0.015959
0.3400,1250,-0.943560,0.015959
0.3400,1500,-0.943560,0.015959
0.3400,1750,-0.943560,0.015959
0.3400,2000,-0.943560,0.015959
0.3500,100,-0.943560,0.015959
0.3500,200,-0.943560,0.015959
0.3500,300,-0.943560,0.015959
0.3500,400,-0.943560,0.015959
0.3500,500,-0.943560,0.015959
0.3500,600,-0.943560,0.015959
0.3500,750,-0.943560,0.015959
0.3500,1000,-0.943560,0.015959
0.3500,1250,-0.943560,0.015959
0.3500,1500,-0.943560,0.015959
0.3500,1750,-0.943560,0.015959
0.3500,2000,-0.943560,0.015959
0.3600,100,-0.943561,0.015958
0.3600,200,-0.943561,0.015959
0.3600,300,-0.943561,0.015959
0.3600,400,-0.943561,0.015959
0.3600,500,-0.943561,0.015959
0.3600,600,-0.943561,0.015959
0.3600,750,-0.943561,0.015959
0.3600,1000,-0.943561,0.015959
0.3600,1250,-0.943561,0.015959
0.3600,1500,-0.943561,0.015959
0.3600,1750,-0.943561,0.015959
0.3600,2000,-0.943561,0.015959
0.3700,100,-0.943562,0.015958
0.3700,200,-0.943562,0.015958
0.3700,300,-0.943562,0.015958
0.3700,400,-0.943562,0.015958
0.3700,500,-0.943562,0.015958
0.3700,600,-0.943562,0.015958
0.3700,750,-0.943562,0.015958
0.3700,1000,-0.943562,0.015958
0.3700,1250,-0.943562,0.015958
0.3700,1500,-0.943562,0.015958
0.3700,1750,-0.943562,0.015958
0.3700,2000,-0.943562,0.015958
0.3800,100,-0.943563,0.015958
0.3800,200,-0.943563,0.015958
0.3800,300,-0.943563,0.015958
0.3800,400,-0.943563,0.015958
0.3800,500,-0.943563,0.015958
0.3800,600,-0.943563,0.015958
0.3800,750,-0.943563,0.015958
0.3800,1000,-0.943563,0.015958
0.3800,1250,-0.943563,0.015958
0.3800,1500,-0.943563,0.015958
0.3800,1750,-0.943563,0.015958
0.3800,2000,-0.943563,0.015958
0.3900,100,-0.943564,0.015957
0.3900,200,-0.943564,0.015957
0.3900,300,-0.943564,0.015957
0.3900,400,-0.943564,0.015957
0.3900,500,-0.943564,0.015957
0.3900,600,-0.943564,0.015957
0.3900,750,-0.943564,0.015957
0.3900,1000,-0.943564,0.015957
0.3900,1250,-0.943564,0.015957
0.3900,1500,-0.943564,0.015957
0.3900,1750,-0.943564,0.015957
0.3900,2000,-0.943564,0.015957
0.4000,100,-0.943565,0.015957
0.4000,200,-0.943565,0.015957
0.4000,300,-0.943565,0.015957
0.4000,400,-0.943565,0.015957
0.4000,500,-0.943565,0.015957
0.4000,600,-0.943565,0.015957
0.4000,750,-0.943565,0.015957
0.4000,1000,-0.943565,0.015957
0.4000,1250,-0.943565,0.015957
0.4000,1500,-0.943565,0.015957
0.4000,1750,-0.943565,0.015957
0.4000,2000,-0.943565,0.015957
0.4100,100,-0.943566,0.015956
0.4100,200,-0.943566,0.015956
0.4100,300,-0.943566,0.015956
0.4100,400,-0.943566,0.015956
0.4100,500,-0.943566,0.015956
0.4100,600,-0.943566,0.015956
0.4100,750,-0.943566,0.015956
0.4100,1000,-0.943566,0.015956
0.4100,1250,-0.943566,0.015956
0.4100,1500,-0.943566,0.015956
0.4100,1750,-0.943566,0.015956
0.4100,2000,-0.943566,0.015956
0.4200,100,-0.943568,0.015956
0.4200,200,-0.943568,0.015956
0.4200,300,-0.943568,0.015956
0.4200,400,-0.943568,0.015956
0.4200,500,-0.943568,0.015956
0.4200,600,-0.943568,0.015956
0.4200,750,-0.943568,0.015956
0.4200,1000,-0.943568,0.015956
0.4200,1250,-0.943568,0.015956
0.4200,1500,-0.943568,0.015956
0.4200,1750,-0.943568,0.015956
0.4200,2000,-0.943568,0.015956
0.4300,100,-0.943569,0.015955
0.4300,200,-0.943569,0.015955
0.4300,300,-0.943569,0.015955
0.4300,400,-0.943569,0.015955
0.4300,500,-0.943569,0.015955
0.4300,600,-0.943569,0.015955
0.4300,750,-0.943569,0.015955
0.4300,1000,-0.943569,0.015955
0.4300,1250,-0.943569,0.015955
0.4300,1500,-0.943569,0.015955
0.4300,1750,-0.943569,0.015955
0.4300,2000,-0.943569,0.015955
0.4400,100,-0.943570,0.015955
0.4400,200,-0.943570,0.015955
0.4400,300,-0.943570,0.015955
0.4400,400,-0.943570,0.015955
0.4400,500,-0.943570,0.015955
0.4400,600,-0.943570,0.015955
0.4400,750,-0.943570,0.015955
0.4400,1000,-0.943570,0.015955
0.4400,1250,-0.943570,0.015955
0.4400,1500,-0.943570,0.015955
0.4400,1750,-0.943570,0.015955
0.4400,2000,-0.943570,0.015955
0.4500,100,-0.943571,0.015954
0.4500,200,-0.943571,0.015954
0.4500,300,-0.943571,0.015954
0.4500,400,-0.943571,0.015954
0.4500,500,-0.943571,0.015954
0.4500,600,-0.943571,0.015954
0.4500,750,-0.943571,0.015954
0.4500,1000,-0.943571,0.015954
0.4500,1250,-0.943571,0.015954
0.4500,1500,-0.943571,0.015954
0.4500,1750,-0.943571,0.015954
0.4500,2000,-0.943571,0.015954
0.4600,100,-0.943571,0.015954
0.4600,200,-0.943571,0.015954
0.4600,300,-0.943571,0.015954
0.4600,400,-0.943571,0.015954
0.4600,500,-0.943571,0.015954
0.4600,600,-0.943571,0.015954
0.4600,750,-0.943571,0.015954
0.4600,1000,-0.943571,0.015954
0.4600,1250,-0.943571,0.015954
0.4600,1500,-0.943571,0.015954
0.4600,1750,-0.943571,0.015954
0.4600,2000,-0.943571,0.015954
0.4700,100,-0.943572,0.015954
0.4700,200,-0.943572,0.015954
0.4700,300,-0.943572,0.015954
0.4700,400,-0.943572,0.015954
0.4700,500,-0.943572,0.015954
0.4700,600,-0.943572,0.015954
0.4700,750,-0.943572,0.015954
0.4700,1000,-0.943572,0.015954
0.4700,1250,-0.943572,0.015954
0.4700,1500,-0.943572,0.015954
0.4700,1750,-0.943572,0.015954
0.4700,2000,-0.943572,0.015954
0.4800,100,-0.943573,0.015954
0.4800,200,-0.943573,0.015954
0.4800,300,-0.943573,0.015954
0.4800,400,-0.943573,0.015954
0.4800,500,-0.943573,0.015954
0.4800,600,-0.943573,0.015954
0.4800,750,-0.943573,0.015954
0.4800,1000,-0.943573,0.015954
0.4800,1250,-0.943573,0.015954
0.4800,1500,-0.943573,0.015954
0.4800,1750,-0.943573,0.015954
0.4800,2000,-0.943573,0.015954
0.4900,100,-0.943573,0.015953
0.4900,200,-0.943573,0.015953
0.4900,300,-0.943573,0.015953
0.4900,400,-0.943573,0.015953
0.4900,500,-0.943573,0.015953
0.4900,600,-0.943573,0.015953
0.4900,750,-0.943573,0.015953
0.4900,1000,-0.943573,0.015953
0.4900,1250,-0.943573,0.015953
0.4900,1500,-0.943573,0.015953
0.4900,1750,-0.943573,0.015953
0.4900,2000,-0.943573,0.015953
0.5000,100,-0.943574,0.015953
0.5000,200,-0.943574,0.015953
0.5000,300,-0.943574,0.015953
0.5000,400,-0.943574,0.015953
0.5000,500,-0.943574,0.015953
0.5000,600,-0.943574,0.015953
0.5000,750,-0.943574,0.015953
0.5000,1000,-0.943574,0.015953
0.5000,1250,-0.943574,0.015953
0.5000,1500,-0.943574,0.015953
0.5000,1750,-0.943574,0.015953
0.5000,2000,-0.943574,0.015953
